#count,ecpfht-arf,ecpfarf-arf,sarf-arf
142000,-34.20000000000008,154.30000000000007,46.99999999999992
143000,-34.00000000000008,154.80000000000007,46.99999999999992
144000,-33.70000000000008,156.80000000000007,48.099999999999916
145000,-32.70000000000007,158.20000000000007,48.599999999999916
146000,-29.400000000000055,161.50000000000009,51.49999999999992
147000,-27.300000000000047,163.5000000000001,51.89999999999991
148000,-27.40000000000004,164.10000000000014,51.79999999999992
149000,-26.90000000000004,165.30000000000013,51.8999999999999
150000,-27.600000000000037,165.40000000000015,51.49999999999991
151000,-27.600000000000037,165.70000000000016,51.3999999999999
152000,-27.70000000000004,166.70000000000016,51.4999999999999
153000,-27.90000000000004,168.70000000000016,51.29999999999988
154000,-27.300000000000033,171.30000000000018,51.6999999999999
155000,-27.40000000000004,172.20000000000016,51.39999999999989
156000,-28.100000000000037,172.80000000000015,52.59999999999989
157000,-30.500000000000014,173.0000000000001,52.59999999999989
158000,-38.400000000000034,173.2000000000001,52.59999999999989
159000,-41.10000000000004,173.10000000000008,52.59999999999989
160000,-41.00000000000004,173.50000000000006,52.59999999999989
161000,-40.800000000000026,174.50000000000006,52.59999999999989
162000,-40.800000000000026,178.80000000000007,53.89999999999989
163000,-40.60000000000002,182.10000000000008,55.4999999999999
164000,-39.50000000000003,183.9000000000001,55.39999999999989
165000,-40.70000000000002,187.30000000000013,55.39999999999989
166000,-43.10000000000001,189.00000000000014,55.5999999999999
167000,-43.5,190.60000000000014,55.0999999999999
168000,-45.0,190.80000000000013,54.99999999999991
169000,-45.8,192.2000000000001,54.8999999999999
170000,-45.999999999999986,194.1000000000001,55.299999999999905
171000,-45.599999999999994,195.3000000000001,55.5999999999999
172000,-45.90000000000002,197.4000000000001,55.699999999999896
173000,-45.000000000000014,199.4000000000001,56.199999999999896
174000,-46.10000000000002,199.80000000000007,56.199999999999896
175000,-45.90000000000002,199.50000000000006,56.29999999999989
176000,-46.5,199.20000000000007,56.29999999999989
177000,-46.8,199.60000000000008,56.29999999999989
178000,-47.099999999999994,199.80000000000007,56.29999999999989
179000,-45.69999999999999,201.00000000000006,56.699999999999896
180000,-44.699999999999974,203.50000000000006,58.09999999999989
181000,-40.79999999999998,207.70000000000005,62.3999999999999
182000,-38.29999999999998,209.90000000000003,64.6999999999999
183000,-37.89999999999998,210.60000000000002,65.09999999999991
184000,-37.699999999999974,211.3,65.3999999999999
185000,-37.3,212.1,65.69999999999989
186000,-37.3,212.29999999999998,65.69999999999989
187000,-37.39999999999999,214.0,65.79999999999988
188000,-38.0,213.8,65.79999999999988
189000,-38.49999999999997,213.0,65.69999999999989
190000,-38.79999999999997,212.7,65.69999999999989
191000,-38.99999999999997,212.7,65.69999999999989
192000,-38.999999999999986,212.89999999999998,65.69999999999989
193000,-39.199999999999974,213.2,65.69999999999989
194000,-39.59999999999998,214.29999999999998,65.59999999999991
195000,-39.699999999999974,215.89999999999998,65.79999999999993
196000,-39.29999999999997,216.29999999999998,66.79999999999993
197000,-38.19999999999997,220.39999999999998,66.79999999999993
198000,-42.49999999999996,227.2,67.29999999999993
199000,-43.69999999999995,234.09999999999997,68.49999999999991
200000,-42.899999999999956,240.79999999999995,71.09999999999991
201000,-46.29999999999996,245.39999999999995,71.2999999999999
202000,-49.19999999999995,248.39999999999998,71.2999999999999
203000,-52.99999999999996,253.2,73.6999999999999
204000,-54.09999999999995,259.3,75.89999999999989
205000,-57.49999999999993,264.50000000000006,77.29999999999993
206000,-59.79999999999995,266.80000000000007,78.59999999999991
207000,-59.89999999999991,266.4000000000001,78.59999999999991
208000,-60.199999999999925,267.0000000000001,78.59999999999991
209000,-60.599999999999916,268.4000000000001,78.49999999999991
210000,-58.99999999999989,276.2000000000001,78.59999999999994
211000,-58.699999999999875,284.8000000000001,80.69999999999993
212000,-56.89999999999988,286.9000000000001,81.49999999999994
213000,-57.39999999999988,290.30000000000007,81.89999999999992
214000,-58.89999999999988,293.20000000000005,83.6999999999999
215000,-70.29999999999987,296.00000000000006,85.89999999999989
216000,-75.09999999999985,300.30000000000007,88.39999999999989
217000,-78.99999999999984,302.20000000000005,90.1999999999999
218000,-82.19999999999985,309.80000000000007,94.59999999999991
219000,-85.19999999999985,315.80000000000007,101.19999999999989
220000,-85.49999999999986,321.20000000000005,104.59999999999988
221000,-88.69999999999986,327.50000000000006,110.99999999999989
222000,-96.69999999999986,335.6,118.09999999999987
223000,-95.79999999999984,340.90000000000003,121.99999999999989
