learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),classified instances,classifications correct (percent),Kappa Statistic (percent),Kappa Temporal Statistic (percent),Kappa M Statistic (percent),model training instances,model serialized size (bytes)
146000.0,1491.816495912,0.025427158517267748,146000.0,88.0,70.69954828470273,-299.99999999999966,59.86622073578596,146000.0,6.6292752E7
147000.0,1499.671248517,0.025571324226405456,147000.0,85.7,68.73551557977035,-376.6666666666663,60.92896174863387,147000.0,7.094664E7
148000.0,1511.079955313,0.025757281725236548,148000.0,88.2,74.96138111324247,-413.0434782608691,69.43005181347151,148000.0,6.3005672E7
149000.0,1521.804360158,0.025937685638585235,149000.0,89.9,79.492219226146,-404.99999999999943,77.25225225225225,149000.0,6.5024216E7
150000.0,1537.907746315,0.02621494270909663,150000.0,91.4,82.77540327587796,-230.76923076923035,70.7482993197279,150000.0,6.6553024E7
151000.0,1553.679827904,0.026477062885385764,151000.0,91.2,81.96994718014072,-266.66666666666623,74.4927536231884,151000.0,6.4241224E7
152000.0,1570.537920476,0.02695588478679177,152000.0,88.3,73.64342482293787,-216.2162162162159,73.76681614349776,152000.0,1.09791304E8
153000.0,1585.545399752,0.027215744854554635,153000.0,91.10000000000001,76.91309987029832,-217.8571428571425,67.15867158671588,153000.0,6.6932056E7
154000.0,1596.109239976,0.02739818693179224,154000.0,90.3,76.32413961435198,-223.33333333333297,65.96491228070177,154000.0,6.6758344E7
155000.0,1607.024426728,0.027588912464996333,155000.0,87.9,72.12880637582346,-332.14285714285677,61.58730158730158,155000.0,6.7542952E7
156000.0,1617.004372395,0.027771611608219168,156000.0,91.7,82.12901558866594,-231.99999999999955,76.94444444444444,156000.0,7.0763728E7
157000.0,1625.87128679,0.027952218810154146,157000.0,96.5,92.4630690382876,-9.375,90.54054054054053,157000.0,7.8734472E7
158000.0,1633.854835466,0.02812699174637028,158000.0,97.1,93.63973716762143,-7.4074074074074066,91.61849710982658,158000.0,8.4621472E7
159000.0,1641.56768371,0.02828403887938553,159000.0,91.3,81.64402059245506,-117.49999999999972,77.9746835443038,159000.0,7.8707768E7
160000.0,1652.443456706,0.028506408638969326,160000.0,83.6,65.34879396899984,-241.66666666666643,58.37563451776649,160000.0,7.9034728E7
161000.0,1666.390766537,0.028807649299948345,161000.0,82.19999999999999,62.11266586351193,-229.6296296296294,53.52480417754568,161000.0,8.348828E7
162000.0,1680.096311739,0.029118551849903744,162000.0,86.3,71.32331393645079,-185.41666666666643,65.31645569620254,162000.0,8.7686016E7
163000.0,1695.579538661,0.029469625556319372,163000.0,79.60000000000001,55.50980528997139,-284.90566037735806,42.696629213483156,163000.0,8.7647432E7
164000.0,1712.096579467,0.029858236546123695,164000.0,79.4,50.57795008852786,-237.7049180327865,31.56146179401996,164000.0,9.0946336E7
165000.0,1727.91188734,0.030217049356933118,165000.0,78.7,47.46085463676458,-343.74999999999955,25.52447552447554,165000.0,8.76986E7
166000.0,1742.748332796,0.03055802645509155,166000.0,81.2,59.57615164963707,-327.27272727272674,46.59090909090911,166000.0,8.8837784E7
167000.0,1754.908416132,0.030844425661725395,167000.0,83.1,65.79612059194973,-293.0232558139532,60.51401869158878,167000.0,9.1041128E7
168000.0,1769.897532523,0.030948428050926676,168000.0,84.5,66.85201026518392,-252.27272727272702,57.534246575342465,168000.0,2.6820672E7
169000.0,1778.608184131,0.03101858741589391,169000.0,88.1,74.4965752543913,-249.9999999999997,67.12707182320442,169000.0,3.1134176E7
170000.0,1789.170895543,0.03110012846353197,170000.0,86.4,67.31947615042652,-299.9999999999997,55.40983606557377,170000.0,2.9840304E7
171000.0,1800.955133837,0.03119161913893423,171000.0,84.7,62.084791292883835,-292.30769230769204,48.310810810810814,171000.0,3.0010808E7
172000.0,1811.743939617,0.031276127500291864,172000.0,82.3,55.07055445981859,-284.7826086956519,35.86956521739129,172000.0,3.0278104E7
173000.0,1820.248677486,0.031342078547268636,173000.0,79.5,55.328542228691724,-355.55555555555503,41.42857142857144,173000.0,2.9975272E7
174000.0,1832.417878018,0.03145037181396552,174000.0,82.0,58.61869193685211,-309.09090909090884,42.85714285714283,174000.0,3.439868E7
175000.0,1840.239641897,0.031524697344040516,175000.0,80.4,61.14102635272847,-276.9230769230765,52.427184466019426,175000.0,3.6731248E7
176000.0,1852.428707303,0.03164365495123317,176000.0,77.60000000000001,56.0230721810593,-330.7692307692304,45.098039215686285,176000.0,3.772456E7
177000.0,1860.994370811,0.03172623447061093,177000.0,79.60000000000001,61.668545659526494,-307.99999999999955,53.42465753424658,177000.0,3.726608E7
178000.0,1868.266982719,0.03180431155381811,178000.0,80.2,62.29849689057806,-280.7692307692304,62.068965517241395,178000.0,4.14988E7
179000.0,1875.327448323,0.03187597748936645,179000.0,80.9,61.557504739899294,-267.30769230769187,53.864734299516925,179000.0,3.9235736E7
180000.0,1881.353315176,0.03193973568989949,180000.0,84.89999999999999,70.37461398710609,-251.16279069767415,65.68181818181817,180000.0,4.0899584E7
181000.0,1887.802734346,0.0320080210416229,181000.0,86.2,73.13361354844614,-253.84615384615356,68.77828054298641,181000.0,4.0926944E7
182000.0,1894.256584095,0.032071192415055086,182000.0,87.3,74.00805954814956,-225.64102564102538,67.76649746192894,182000.0,3.783588E7
183000.0,1900.41028175,0.03212884848154381,183000.0,89.1,76.62198391420911,-289.2857142857139,68.31395348837209,183000.0,3.6216896E7
184000.0,1908.846792773,0.03220987962296268,184000.0,88.7,76.68901495616296,-264.5161290322577,70.41884816753927,184000.0,3.7127136E7
185000.0,1919.220184351,0.03231297573825889,185000.0,85.7,71.35485525187696,-224.99999999999974,68.5022026431718,185000.0,3.841704E7
186000.0,1930.10473299,0.03241855256976422,186000.0,85.9,71.73317723097402,-271.05263157894706,67.4364896073903,186000.0,3.7493896E7
187000.0,1941.334650473,0.03252229972715336,187000.0,82.6,64.82396822027474,-370.27027027027,58.072289156626496,187000.0,3.5711E7
188000.0,1952.00089822,0.0326308062070141,188000.0,82.69999999999999,59.90479126156213,-220.37037037037015,45.59748427672954,188000.0,3.9322976E7
189000.0,1963.738884583,0.03276533559011229,189000.0,82.69999999999999,64.00213074093186,-226.4150943396224,54.23280423280422,189000.0,4.4302264E7
190000.0,1975.987865935,0.032903735284246866,190000.0,79.4,59.808955969345554,-274.54545454545416,55.21739130434783,190000.0,4.3675464E7
191000.0,1985.37378092,0.0330163845460483,191000.0,79.60000000000001,57.51150730010623,-257.89473684210486,45.45454545454547,191000.0,4.6393176E7
192000.0,1997.597024641,0.03314699405079515,192000.0,81.69999999999999,60.774394896813064,-335.71428571428544,46.49122807017542,192000.0,4.1303864E7
193000.0,2008.687575216,0.03326567458184819,193000.0,87.6,74.00838858297507,-244.44444444444414,66.30434782608695,193000.0,4.1364592E7
194000.0,2019.509175145,0.03338886719131866,194000.0,86.1,70.47591131728412,-256.4102564102561,61.06442577030812,194000.0,4.4004344E7
195000.0,2028.076908343,0.03351300381193408,195000.0,93.60000000000001,87.36541202575879,-120.68965517241341,85.18518518518519,195000.0,5.6006232E7
196000.0,2038.231496847,0.033686938802173064,196000.0,94.8,89.92669735149626,-40.54054054054054,88.64628820960696,196000.0,6.621052E7
197000.0,2049.685389714,0.03390822641422038,197000.0,95.7,91.52914663047183,-38.70967741935484,90.09216589861751,197000.0,7.4680352E7
198000.0,2060.831287765,0.034143418597118565,198000.0,97.5,95.07798441492984,19.35483870967742,94.51754385964912,198000.0,8.1566192E7
199000.0,2071.93683324,0.0343975688274398,199000.0,96.6,93.21346448645888,-13.333333333333334,92.96066252587991,199000.0,8.8461232E7
200000.0,2080.696321789,0.03461395101184203,200000.0,97.8,95.68972273161862,31.25,96.05026929982047,200000.0,9.5487192E7
201000.0,2094.038435921,0.03496840144348199,201000.0,96.3,92.6795006232317,-8.823529411764707,93.13543599257886,201000.0,1.026912E8
202000.0,2108.226463884,0.035354712626268214,202000.0,92.2,84.20764916685228,-129.41176470588204,79.31034482758622,202000.0,1.05248912E8
203000.0,2124.929574562,0.03579694211599601,203000.0,89.1,75.24949193337798,-165.8536585365851,66.04361370716511,203000.0,1.0234172E8
204000.0,2140.56533337,0.03609773228348169,204000.0,85.7,68.6726400420619,-232.55813953488348,57.692307692307686,204000.0,7.4361312E7
205000.0,2153.453788876,0.03634648615014964,205000.0,84.3,66.89649355852151,-292.4999999999997,58.02139037433154,205000.0,7.4605584E7
206000.0,2165.266295072,0.03657817866452375,206000.0,85.3,65.11627906976743,-332.35294117647027,49.829351535836174,206000.0,7.5818E7
207000.0,2177.492501435,0.036780957086773994,207000.0,88.6,72.22959788944945,-267.7419354838706,59.57446808510639,207000.0,6.4110976E7
208000.0,2186.173163979,0.03693405374523718,208000.0,89.0,73.65767914574248,-254.838709677419,61.80555555555557,208000.0,6.817344E7
209000.0,2195.695308642,0.03710220580842197,209000.0,87.6,72.87405906892394,-327.58620689655135,60.12861736334406,209000.0,6.8260552E7
210000.0,2203.098279745,0.03723316648478216,210000.0,88.4,75.41013144980593,-182.9268292682924,67.41573033707866,210000.0,6.838128E7
211000.0,2213.279673243,0.03741306709084746,211000.0,88.9,75.36809169283345,-192.10526315789446,65.63467492260062,211000.0,6.8301112E7
212000.0,2223.261427603,0.03759555402787428,212000.0,90.8,84.04071698813637,-162.85714285714255,81.99608610567515,212000.0,7.0668728E7
213000.0,2233.928569415,0.037799156337753624,213000.0,90.0,83.06992965555771,-156.41025641025612,79.16666666666667,213000.0,7.377972E7
214000.0,2244.766717838,0.03801195186788381,214000.0,88.2,80.31998372229161,-210.52631578947341,74.7323340471092,214000.0,7.5894408E7
215000.0,2255.799717487,0.03822285832569371,215000.0,87.7,81.29220660704507,-207.49999999999972,78.38312829525485,215000.0,7.3892208E7
216000.0,2263.530417654,0.03837431405282112,216000.0,89.3,83.5803946843446,-224.2424242424239,78.76984126984128,216000.0,7.5730224E7
217000.0,2271.50780235,0.03853027983694605,217000.0,87.3,79.92916734491331,-202.3809523809521,76.9090909090909,217000.0,7.5573784E7
218000.0,2281.20926307,0.038723971508396654,218000.0,89.2,80.32077142576011,-129.78723404255294,74.58823529411765,218000.0,7.717492E7
219000.0,2291.245891313,0.03892989426776649,219000.0,92.7,86.27484159663076,-128.12499999999966,82.983682983683,219000.0,7.9308344E7
220000.0,2300.39494365,0.03911438481826873,220000.0,91.7,85.45581986244359,-130.55555555555526,81.22171945701359,220000.0,7.7947176E7
221000.0,2309.62919988,0.03929823955025753,221000.0,89.5,79.60674026367515,-149.99999999999974,71.07438016528927,221000.0,7.6961808E7
222000.0,2319.673340159,0.03949762041522909,222000.0,87.4,78.62301690308591,-162.49999999999977,71.62162162162163,222000.0,7.6731392E7
223000.0,2328.275501335,0.039677443774004784,223000.0,87.4,75.0920211441065,-168.0851063829785,63.58381502890174,223000.0,8.0805496E7
224000.0,2336.686493673,0.03986502858740608,224000.0,89.4,82.35679879094138,-120.8333333333331,76.65198237885463,224000.0,8.620904E7
225000.0,2346.791480656,0.04010391408673926,225000.0,92.0,85.79631201241403,-77.77777777777753,80.62953995157386,225000.0,9.1381104E7
226000.0,2356.575918338,0.040345905588796076,226000.0,95.1,91.0677176377941,-36.11111111111111,87.03703703703702,226000.0,9.560192E7
227000.0,2366.849263964,0.040608172027108605,227000.0,96.3,93.28631333320028,-8.823529411764707,90.08042895442358,227000.0,9.868092E7
228000.0,2376.587980694,0.04086645448632337,228000.0,95.0,91.23434453934726,-38.88888888888889,87.37373737373736,228000.0,1.0251692E8
229000.0,2387.081296075,0.04115409410084221,229000.0,96.2,93.20565932818275,0.0,90.0523560209424,229000.0,1.0595912E8
230000.0,2397.089769756,0.041438127296155924,230000.0,93.30000000000001,88.34494779580349,-59.523809523809255,83.73786407766993,230000.0,1.0969924E8
231000.0,2408.710289506,0.04177756418344289,231000.0,94.3,89.97712322335715,-21.27659574468085,85.56962025316454,231000.0,1.12910896E8
232000.0,2420.462163301,0.04212905484645703,232000.0,95.6,92.39795988887198,-2.3255813953488373,89.1358024691358,232000.0,1.15613632E8
233000.0,2430.270970456,0.04242786190436372,233000.0,94.0,90.17559486773075,-20.0,86.36363636363636,233000.0,1.17754368E8
234000.0,2443.965888309,0.042845671956639866,234000.0,93.5,89.87688737647856,-41.30434782608671,86.37316561844864,234000.0,1.17929328E8
235000.0,2454.125431611,0.043161961556193174,235000.0,90.8,85.89065255731921,-87.7551020408161,81.9607843137255,235000.0,1.20340856E8
236000.0,2472.629796672,0.043621716483380014,236000.0,84.3,76.598005911612,-175.43859649122788,71.29798903107861,236000.0,9.6040536E7
237000.0,2487.351492908,0.04406389594263206,237000.0,84.5,77.17382500423388,-209.99999999999977,71.97106690777576,237000.0,1.16102904E8
238000.0,2503.779445892,0.04449788473660295,238000.0,82.8,74.21038032192041,-251.02040816326507,66.00790513833992,238000.0,1.02116856E8
239000.0,2518.997687448,0.044905414671722405,239000.0,82.19999999999999,73.92884919303927,-212.28070175438577,66.03053435114504,239000.0,1.035136E8
240000.0,2533.063738331,0.045300919591508,240000.0,81.3,72.52731108486267,-239.9999999999998,64.65028355387523,240000.0,1.0868812E8
241000.0,2549.046086426,0.04575353063286501,241000.0,83.6,75.73548123642517,-198.18181818181796,67.90606653620351,241000.0,1.09467936E8
242000.0,2567.95970002,0.04631654282388349,242000.0,84.0,76.37790625572097,-119.17808219178102,68.93203883495144,242000.0,1.1506564E8
243000.0,2584.885136625,0.04691010521930069,243000.0,79.0,67.21731175712087,-187.67123287671245,56.15866388308978,243000.0,1.3555916E8
244000.0,2602.561853071,0.04748102140328579,244000.0,80.0,68.79461395036783,-198.50746268656735,55.75221238938054,244000.0,1.24845568E8
245000.0,2615.829421772,0.04791940462431544,245000.0,81.8,68.33014604674958,-188.88888888888923,56.03864734299516,245000.0,1.27721776E8
246000.0,2629.923968634,0.04838166462207094,246000.0,83.89999999999999,70.84611456571575,-187.4999999999998,57.96344647519581,246000.0,1.26776152E8
247000.0,2646.936776547,0.04893507736650109,247000.0,84.39999999999999,74.70333170094149,-246.6666666666664,64.62585034013605,247000.0,1.257406E8
248000.0,2659.43525563,0.04934310465430607,248000.0,84.7,74.77403803349611,-205.99999999999977,66.66666666666666,248000.0,1.26192752E8
249000.0,2673.380889931,0.04979881031078686,249000.0,86.5,78.68907838946261,-246.15384615384585,71.93347193347192,249000.0,1.26313136E8
250000.0,2686.401010653,0.050212707589162964,250000.0,87.6,78.77715326318385,-188.37209302325556,70.89201877934272,250000.0,1.2287964E8
251000.0,2703.162112128,0.050744570895800145,251000.0,84.6,77.11867680576728,-258.13953488372067,70.61068702290076,251000.0,1.2265912E8
252000.0,2720.6829524,0.05139100229515474,252000.0,85.6,79.08754910432265,-251.2195121951217,76.0797342192691,252000.0,1.42616536E8
253000.0,2738.778349028,0.05197462009840941,253000.0,83.3,73.04904106228737,-288.37209302325556,69.85559566787002,253000.0,1.2467024E8
254000.0,2755.152651769,0.05250252909690127,254000.0,87.6,82.19887020248784,-195.23809523809496,84.59627329192548,254000.0,1.2462312E8
255000.0,2770.02772288,0.05299022638777678,255000.0,88.7,82.37904697153515,-242.42424242424207,82.85280728376328,255000.0,1.26734152E8
256000.0,2784.51147976,0.053455210599046434,256000.0,84.39999999999999,75.20483823541099,-262.79069767441837,74.95987158908507,256000.0,1.24096448E8
257000.0,2800.335822578,0.05395910690262027,257000.0,83.7,76.12379300646855,-297.5609756097558,73.62459546925567,257000.0,1.23088608E8
258000.0,2816.613257843,0.05447239507908275,258000.0,88.1,80.88973537904167,-230.55555555555526,77.33333333333333,258000.0,1.21892688E8
259000.0,2834.233512102,0.05502809597203292,259000.0,88.4,81.02317789789161,-197.43589743589715,75.05376344086021,259000.0,1.21907744E8
260000.0,2851.631968177,0.05558234357264949,260000.0,83.6,75.76431087886886,-221.5686274509802,71.42857142857142,260000.0,1.2313896E8
261000.0,2868.535654352,0.05613768429049597,261000.0,84.3,77.47864057057934,-256.8181818181816,82.97180043383948,261000.0,1.269932E8
262000.0,2887.197820329,0.056751595792007746,262000.0,84.8,78.67025904409081,-210.20408163265282,83.3879781420765,262000.0,1.27158704E8
263000.0,2903.400372085,0.057292871591528606,263000.0,86.2,80.41697649469556,-122.58064516129015,78.40375586854461,263000.0,1.29133096E8
264000.0,2921.77020637,0.057919454962520635,264000.0,82.8,76.5437166480971,-120.51282051282068,74.28998505231688,264000.0,1.31848744E8
265000.0,2941.411318942,0.05860416731719613,265000.0,79.60000000000001,72.89198652572271,-126.6666666666667,57.588357588357596,265000.0,1.34754864E8
266000.0,2958.177018234,0.05919795554280905,266000.0,79.80000000000001,72.80896819456933,-197.05882352941194,61.00386100386102,266000.0,1.36902784E8
267000.0,2977.513313375,0.05988853875156081,267000.0,84.6,78.04857536679549,-123.18840579710164,70.72243346007603,267000.0,1.38052768E8
268000.0,2997.657096387,0.06056394447451636,268000.0,85.3,79.00560850172882,-188.23529411764684,72.10626185958255,268000.0,1.29606288E8
269000.0,3016.841904763,0.06122993166354001,269000.0,82.1,74.5258100507776,-179.6875000000003,71.03559870550161,269000.0,1.34187104E8
270000.0,3036.081138936,0.06192188528924232,270000.0,82.0,75.09271046659654,-176.92307692307722,73.13432835820896,270000.0,1.39024576E8
271000.0,3054.553141649,0.06262319338474878,271000.0,84.0,78.02158555029142,-146.15384615384642,82.47535596933187,271000.0,1.46756464E8
272000.0,3071.806707639,0.06319363869344634,272000.0,84.7,79.19310026885778,-173.21428571428552,83.44155844155844,272000.0,1.2780196E8
273000.0,3086.496853073,0.06364076465801435,273000.0,84.5,78.88214328533903,-146.03174603174628,79.33333333333333,273000.0,1.17653856E8
274000.0,3102.859885704,0.0642189291741936,274000.0,86.5,81.94786543537737,-181.24999999999977,83.90941597139452,274000.0,1.36580912E8
275000.0,3118.847476405,0.06471064054935527,275000.0,86.9,82.22943294256173,-178.7234042553189,84.69626168224299,275000.0,1.18885696E8
276000.0,3133.238308629,0.06515324461018905,276000.0,86.9,82.88523570688548,-211.90476190476164,84.8729792147806,276000.0,1.18886312E8
277000.0,3145.376234578,0.0655268467804616,277000.0,84.5,79.24769549005562,-198.07692307692287,80.57644110275689,277000.0,1.18978168E8
278000.0,3162.113548305,0.0660816821607741,278000.0,82.19999999999999,75.78438854900872,-255.99999999999977,76.45502645502646,278000.0,1.28138832E8
279000.0,3178.815942897,0.0666091809743772,279000.0,82.8,76.61575608602136,-273.91304347826065,78.68649318463446,279000.0,1.22080168E8
280000.0,3195.419226851,0.06716002552755344,280000.0,83.0,77.70991685798988,-254.16666666666643,77.11978465679677,280000.0,1.28244112E8
281000.0,3211.798861372,0.06773939266756474,281000.0,86.2,81.28615636636823,-236.58536585365826,81.40161725067385,281000.0,1.36726288E8
282000.0,3228.947158121,0.06842814030150134,282000.0,85.3,80.09548749807048,-193.99999999999977,80.75916230366492,282000.0,1.55253536E8
283000.0,3247.916622585,0.06919089801424351,283000.0,87.5,83.7279204152114,-197.61904761904736,83.33333333333334,283000.0,1.55429664E8
284000.0,3265.997031162,0.06984563910891652,284000.0,85.8,81.81983456049448,-230.23255813953463,80.7327001356852,284000.0,1.39979272E8
285000.0,3282.161547258,0.07045456176520565,285000.0,87.7,83.46649747830482,-199.99999999999974,80.16129032258064,285000.0,1.45613552E8
286000.0,3296.67205207,0.07103451669207946,286000.0,85.3,80.21190758557005,-241.86046511627885,80.24193548387096,286000.0,1.5449488E8
287000.0,3313.320819616,0.07170281567122913,287000.0,84.0,79.1054521710741,-247.82608695652152,81.90045248868778,287000.0,1.5516404E8
288000.0,3332.662256029,0.07244337131118617,288000.0,84.39999999999999,79.76622204236642,-218.36734693877528,80.97560975609754,288000.0,1.4800328E8
289000.0,3350.899162901,0.07314457019315468,289000.0,86.3,81.78097002371135,-260.5263157894734,83.2107843137255,289000.0,1.48625184E8
290000.0,3369.686918222,0.07386984755849521,290000.0,82.6,77.33460120621605,-270.21276595744655,80.06872852233677,290000.0,1.49221568E8
291000.0,3387.066957195,0.07457845957461808,291000.0,82.3,76.97587930677884,-247.05882352941154,70.84019769357495,291000.0,1.57601424E8
292000.0,3407.181512252,0.07540173187850374,292000.0,81.8,76.16209773539929,-243.39622641509413,67.49999999999999,292000.0,1.58210552E8
293000.0,3422.643921996,0.07603989867266797,293000.0,85.6,80.87105764453642,-251.2195121951217,78.50746268656718,293000.0,1.59536256E8
294000.0,3443.978391188,0.07696081085408037,294000.0,84.5,79.75475828487536,-260.46511627906955,78.41225626740946,294000.0,1.66854816E8
295000.0,3466.194510338,0.0780384043466729,295000.0,85.6,81.00787513733022,-234.8837209302323,72.88135593220339,295000.0,1.8749476E8
296000.0,3487.892003116,0.07894229374135321,296000.0,86.0,81.51056077148505,-211.11111111111086,79.62154294032021,296000.0,1.61030488E8
297000.0,3510.06298795,0.0799677088235758,297000.0,84.7,79.95571917045498,-273.1707317073168,77.13004484304933,297000.0,1.7877924E8
298000.0,3530.522365338,0.08081654261625625,298000.0,85.3,80.12732033813296,-297.297297297297,74.99999999999999,298000.0,1.60373504E8
299000.0,3553.77272612,0.08196558302851786,299000.0,86.7,82.1703150491925,-216.66666666666637,79.96987951807229,299000.0,1.91032816E8
300000.0,3579.562718269,0.08312596598815378,300000.0,88.3,83.45342563587637,-165.90909090909065,84.12483039348712,300000.0,1.73921192E8
301000.0,3595.253503741,0.08386246513667352,301000.0,94.0,91.53122507886546,-42.857142857142854,91.53737658674189,301000.0,1.81438704E8
302000.0,3614.217607302,0.08478383893666368,302000.0,95.19999999999999,92.87511410950057,-41.17647058823529,91.83673469387755,302000.0,1.87804464E8
303000.0,3632.639393967,0.08570534212432844,303000.0,96.0,94.04054219147142,0.0,92.7927927927928,303000.0,1.93360368E8
